Ent,;Entidad;Fecha de Datos (*);Ppto, Aprobado;Crédito Vigente;Comprometido;Devengado;Pagado;Saldo por Devengar;Deuda Flotante;;;;
1277;Gobierno Autónomo Municipal de Teoponte;30-sep-22;9218830,00;12037494,98;8721,03;8721,03;8721,03;12028773,95;0,00;;;;
1260;Gobierno Autónomo Municipal de La Asunta;30-sep-22;34715242,00;60469533,82;27495253,72;27495253,72;27437217,72;32974280,10;58036,00;;;;
1263;Gobierno Autónomo Municipal de Batallas;30-sep-22;16678436,00;32445074,10;11539404,07;11539404,07;11537983,95;20905670,03;1420,12;;;;
1274;Gobierno Autónomo Municipal de Santiago de Machaca;30-sep-22;4672116,00;6561458,62;3531216,53;3531216,53;3514446,53;3030242,09;16770,00;;;;
1283;Gobierno Autónomo Municipal de Escoma;30-sep-22;6105589,00;7563290,12;3566798,94;3566798,94;3566798,94;3996491,18;0,00;;;;
1242;Gobierno Autónomo Municipal de Charaña;30-sep-22;2825678,00;3497495,40;1641257,22;1641257,22;1641257,22;1856238,18;0,00;;;;
1238;Gobierno Autónomo Municipal de Corocoro;30-sep-22;9606336,00;14767299,08;5578271,62;5578271,62;5521772,12;9189027,46;56499,50;;;;
1273;Gobierno Autónomo Municipal de Chacarilla;30-sep-22;1778730,00;1780187,18;1078326,54;1078326,54;1078326,54;701860,64;0,00;;;;
1285;Gobierno Autónomo Municipal de Alto Beni;30-sep-22;10785917,00;16204535,99;7275688,46;7259638,46;7216638,00;8944897,53;43000,46;;;;
1250;Gobierno Autónomo Municipal de Pelechuco;30-sep-22;7431069,00;18832283,00;4560746,30;4560746,30;4560746,30;14271536,70;0,00;;;;
1215;Gobierno Autónomo Municipal de Patacamaya;30-sep-22;23644048,00;37448671,82;17601883,17;17460355,02;17388477,51;19988316,80;71877,51;;;;
1222;Gobierno Autónomo Municipal de Ichoca;30-sep-22;6805547,00;11308461,01;6762776,96;6762776,96;6762776,96;4545684,05;0,00;;;;
1236;Gobierno Autónomo Municipal de Ayata;30-sep-22;6902134,00;9909817,52;5175424,25;5175424,25;5160385,25;4734393,27;15039,00;;;;
